time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T05:17:27.120Z,17.9551666666667,-67.192,5.89,2.89,md,19,243,,0.16,pr,pr71341248,2022-03-22T06:04:30.750Z,"2 km SSW of Pole Ojea, Puerto Rico",earthquake,0.56,0.36,0.222860042749381,16,reviewed,pr,pr
2022-03-22T05:02:58.250Z,33.9905,-117.2231667,13.53,1.13,ml,37,77,0.06003,0.19,ci,ci39974039,2022-03-22T05:06:35.761Z,"7km N of Moreno Valley, CA",earthquake,0.27,0.64,0.189,27,automatic,ci,ci
2022-03-22T05:02:17.300Z,18.073,-66.8783333333333,7.97,2.47,md,4,195,,0.1,pr,pr71341238,2022-03-22T05:38:34.750Z,"4 km NE of Lluveras, Puerto Rico",earthquake,1.52,6.44,0.023969386434386,3,reviewed,pr,pr
2022-03-22T04:26:09.100Z,33.265,-116.3911667,20.95,0.78,ml,12,87,0.02201,0.27,ci,ci39974031,2022-03-22T04:29:44.776Z,"2km NW of Borrego Springs, CA",earthquake,0.89,1.46,0.138,7,automatic,ci,ci
2022-03-22T04:13:00.911Z,61.2135,-152.2862,4.2,0.9,ml,,,,1.08,ak,ak0223q0zmsn,2022-03-22T04:17:25.945Z,"63 km WNW of Tyonek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-22T04:07:06.200Z,19.1671657562256,-155.47233581543,31.5499992370605,1.83000004,md,41,83,,0.150000006,hv,hv72958692,2022-03-22T04:10:24.300Z,"4 km S of Pāhala, Hawaii",earthquake,0.64,0.829999983,1.09000003,11,automatic,hv,hv
2022-03-22T04:07:04.850Z,38.8279991,-122.80233,2.05,0.75,md,17,49,0.007598,0.02,nc,nc73708661,2022-03-22T04:08:39.627Z,"7km W of Cobb, CA",earthquake,0.24,0.58,0.1,2,automatic,nc,nc
2022-03-22T03:57:14.210Z,34.1163333,-117.23,0.99,0.82,ml,11,141,0.172,0.29,ci,ci39974023,2022-03-22T04:00:50.315Z,"2km SW of Highland, CA",earthquake,1.01,2.16,0.126,15,automatic,ci,ci
2022-03-22T03:56:10.706Z,61.8143,-149.5862,34.9,1.5,ml,,,,0.51,ak,ak0223q0nfqm,2022-03-22T04:15:12.685Z,"20 km WNW of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-22T03:48:11.659Z,-15.3869,167.6052,117.46,4.8,mb,,215,0.392,0.68,us,us6000h6kh,2022-03-22T04:05:41.040Z,"49 km ENE of Luganville, Vanuatu",earthquake,5.3,5.3,0.118,22,reviewed,us,us
2022-03-22T03:34:58.597Z,38.1972,-117.884,8.4,0.8,ml,8,182.99,0.079,0.0737,nn,nn00835752,2022-03-22T03:38:57.470Z,"29 km SE of Mina, Nevada",earthquake,,1.3,0.24,4,automatic,nn,nn
2022-03-22T03:29:57.700Z,35.6978333,-117.5215,11.25,0.89,ml,14,158,0.1211,0.17,ci,ci39974015,2022-03-22T03:33:35.830Z,"13km SW of Searles Valley, CA",earthquake,0.5,0.71,0.185,9,automatic,ci,ci
2022-03-22T03:29:38.380Z,18.8791666666667,-67.5898333333333,25.75,3.24,md,6,215,,0.2,pr,pr71341233,2022-03-22T04:12:08.690Z,"67 km NW of San Antonio, Puerto Rico",earthquake,1.77,31.61,0.00361181809036104,2,reviewed,pr,pr
2022-03-22T03:04:46.170Z,38.8235,-122.798,2.66,0.4,md,19,80,0.009432,0.03,nc,nc73708656,2022-03-22T03:51:14.214Z,"6km NW of The Geysers, CA",earthquake,0.31,0.37,0.144,3,reviewed,nc,nc
